BR-01,Adana Center,Adana
BR-02,Adiyaman Center,Adiyaman
BR-03,Afyonkarahisar Center,Afyonkarahisar
BR-04,Agri Center,Agri
BR-05,Amasya Center,Amasya
BR-06,Ankara Center,Ankara
BR-07,Antalya Center,Antalya
BR-08,Artvin Center,Artvin
BR-09,Aydin Center,Aydin
BR-10,Balikesir Center,Balikesir
BR-11,Bilecik Center,Bilecik
BR-12,Bingol Center,Bingol
BR-13,Bitlis Center,Bitlis
BR-14,Bolu Center,Bolu
BR-15,Burdur Center,Burdur
BR-16,Bursa Center,Bursa
BR-17,Canakkale Center,Canakkale
BR-18,Cankiri Center,Cankiri
BR-19,Corum Center,Corum
BR-20,Denizli Center,Denizli
BR-21,Diyarbakir Center,Diyarbakir
BR-22,Edirne Center,Edirne
BR-23,Elazig Center,Elazig
BR-24,Erzincan Center,Erzincan
BR-25,Erzurum Center,Erzurum
BR-26,Eskisehir Center,Eskisehir
BR-27,Gaziantep Center,Gaziantep
BR-28,Giresun Center,Giresun
BR-29,Gumushane Center,Gumushane
BR-30,Hakkari Center,Hakkari
BR-31,Hatay Center,Hatay
BR-32,Isparta Center,Isparta
BR-33,Mersin Center,Mersin
BR-34,Istanbul Center,Istanbul
BR-35,Izmir Center,Izmir
BR-36,Kars Center,Kars
BR-37,Kastamonu Center,Kastamonu
BR-38,Kayseri Center,Kayseri
BR-39,Kirklareli Center,Kirklareli
BR-40,Kirsehir Center,Kirsehir
BR-41,Kocaeli Center,Kocaeli
BR-42,Konya Center,Konya
BR-43,Kutahya Center,Kutahya
BR-44,Malatya Center,Malatya
BR-45,Manisa Center,Manisa
BR-46,Kahramanmaras Center,Kahramanmaras
BR-47,Mardin Center,Mardin
BR-48,Mugla Center,Mugla
BR-49,Mus Center,Mus
BR-50,Nevsehir Center,Nevsehir
BR-51,Nigde Center,Nigde
BR-52,Ordu Center,Ordu
BR-53,Rize Center,Rize
BR-54,Sakarya Center,Sakarya
BR-55,Samsun Center,Samsun
BR-56,Siirt Center,Siirt
BR-57,Sinop Center,Sinop
BR-58,Sivas Center,Sivas
BR-59,Tekirdag Center,Tekirdag
BR-60,Tokat Center,Tokat
BR-61,Trabzon Center,Trabzon
BR-62,Tunceli Center,Tunceli
BR-63,Sanliurfa Center,Sanliurfa
BR-64,Usak Center,Usak
BR-65,Van Center,Van
BR-66,Yozgat Center,Yozgat
BR-67,Zonguldak Center,Zonguldak
BR-68,Aksaray Center,Aksaray
BR-69,Bayburt Center,Bayburt
BR-70,Karaman Center,Karaman
BR-71,Kirikkale Center,Kirikkale
BR-72,Batman Center,Batman
BR-73,Sirnak Center,Sirnak
BR-74,Bartin Center,Bartin
BR-75,Ardahan Center,Ardahan
BR-76,Igdir Center,Igdir
BR-77,Yalova Center,Yalova
BR-78,Karabuk Center,Karabuk
BR-79,Kilis Center,Kilis
BR-80,Osmaniye Center,Osmaniye
BR-81,Duzce Center,Duzce
